amplitude,duration,energy,rms,rise_time,counts,label
0.000149182,0.0011798,262.8876769,1.13E-05,3.00E-06,18,0
0.000181149,0.0014007,356.2136938,1.34E-05,0.0004466,25,0
0.000359254,0.0019245,487.8780454,1.12E-05,0.0003503,31,0
0.000203983,0.0009623,378.3833791,1.20E-05,0.0001257,26,0
0.000167449,0.001434,287.715941,1.18E-05,0.0001802,17,0
0.000149182,0.0004182,188.3092661,1.09E-05,0.0002109,14,0
0.000179627,0.0005504,273.1984061,1.37E-05,2.18E-05,27,0
0.000141571,0.0002189,76.61920051,1.37E-05,3.10E-06,4,0
0.000637829,0.0031867,3118.805522,1.36E-05,0.0002488,241,0
0.000246607,0.0018621,891.7286115,1.18E-05,0.0005002,90,0
0.000203983,0.0018024,561.1628531,1.10E-05,0.000356,46,0
0.000858557,0.0039497,3462.399911,1.15E-05,4.38E-05,238,0
0.000411011,0.0036441,2815.39959,1.09E-05,0.0006918,212,0
0.000115692,0.0002771,104.2778936,1.18E-05,0.0002765,2,0
0.000240518,0.0002522,158.3630384,1.15E-05,5.50E-06,11,0
0.000197894,0.0013432,402.9390374,1.57E-05,0.0002585,38,0
0.000120259,0.0004989,168.6892471,1.52E-05,9.93E-05,11,0
0.000117214,0.0002036,91.29922369,1.38E-05,2.09E-05,5,0
0.000359254,0.0012527,644.6590246,1.19E-05,2.78E-05,57,0
0.00030902,0.002095,1094.860275,1.53E-05,5.97E-05,118,0
0.000173538,0.0009075,201.0130128,1.31E-05,0.0001135,16,0
0.000330331,0.0012612,552.038761,1.23E-05,1.15E-05,47,0
0.000354688,0.0027706,1710.80485,1.20E-05,0.0009691,179,0
0.000199417,0.0014228,533.8746481,1.10E-05,0.0002166,54,0
0.000185716,0.0004198,137.8686601,9.49E-06,6.00E-07,9,0
0.000799189,0.0030317,2950.431889,1.03E-05,9.40E-06,191,0
0.000377522,0.0027135,1694.732878,1.02E-05,0.0002912,155,0
0.000210072,0.0021896,904.2104547,9.49E-06,0.0002653,91,0
0.000133959,0.0005059,118.7273929,1.22E-05,1.50E-05,3,0
0.000605861,0.0037664,2437.287056,8.52E-06,5.47E-05,154,0
0.000418623,0.0028052,2898.119007,8.40E-06,0.000255,197,0
0.000168971,0.0004309,131.2322236,9.78E-06,0.000213,8,0
0.000359254,0.0014432,770.8427106,9.13E-06,1.68E-05,67,0
0.000149182,0.001304,313.5803112,9.79E-06,0.0002222,21,0
0.000278574,0.0002603,306.4473261,9.75E-06,1.63E-05,28,0
0.000324242,0.0021677,1085.145367,1.07E-05,0.0002296,96,0
0.000133959,0.0005966,186.6616739,9.75E-06,1.71E-05,12,0
0.000109603,0.0002806,87.55105575,1.11E-05,6.02E-05,4,0
0.000430801,0.0016688,1389.97124,8.42E-06,3.82E-05,125,0
0.00043689,0.0016251,1856.148897,8.74E-06,0.0002468,128,0
0.000197894,0.0007521,508.205857,8.18E-06,0.000299,62,0
0.000138526,0.0002517,123.5074031,8.18E-06,1.78E-05,9,0
0.000579983,0.0024362,1544.064998,9.00E-06,5.37E-05,117,0
0.000252696,0.001424,792.0562826,8.57E-06,0.0002114,71,0
0.000117214,0.000431,118.4753646,8.57E-06,0.0004305,4,0
0.000316631,0.0017748,673.6844544,1.12E-05,0.0004862,46,0
0.00014766,0.0011044,215.0233396,9.23E-06,0.0001473,9,0
0.000287708,0.0013588,389.1131668,1.04E-05,1.73E-05,25,0
0.000220728,0.0002617,166.1608998,8.61E-06,1.21E-05,17,0
0.000109603,0.0002089,68.42341425,9.51E-06,3.40E-06,4,0
0.000313586,0.0013813,519.3338476,6.48E-06,5.50E-06,29,0
0.000270963,0.0010215,470.182859,6.48E-06,0.0002203,44,0
0.000202461,0.0014591,492.6167152,6.93E-06,0.0002919,43,0
0.00028923,0.0010991,371.4798056,8.26E-06,1.94E-05,29,0
0.000432323,0.0019439,2124.053597,6.88E-06,0.0002508,143,0
0.000222251,0.0020858,830.9714367,6.62E-06,0.0006652,80,0
0.000235951,0.0008469,373.61477,8.26E-06,5.20E-06,31,0
0.000579983,0.0017522,2165.835051,8.26E-06,3.90E-05,148,0
0.000426234,0.0029543,2696.646151,6.88E-06,0.0002741,178,0
0.000111125,0.0003926,98.64919962,8.78E-06,4.00E-07,2,0
0.000449068,0.0015214,773.4509579,1.03E-05,7.80E-06,77,0
0.000400356,0.0015149,728.1518592,8.78E-06,4.70E-06,82,0
0.00016136,0.0005277,149.9253272,6.88E-06,2.67E-05,12,0
0.00017506,0.0004858,168.2204132,1.09E-05,0.0001026,11,0
0.000464291,0.0025053,1313.329979,1.09E-05,3.20E-05,116,0
0.000254218,0.0019755,894.2179355,1.05E-05,7.56E-05,69,0
0.000108081,0.0003593,89.4566085,1.11E-05,0.000359,1,0
0.000130915,0.0002309,89.85870441,1.09E-05,9.90E-06,5,0
0.000152226,0.0002371,87.04199379,1.36E-05,3.10E-06,7,0
0.001018395,0.0039425,11408.51168,1.21E-05,2.94E-05,383,0
0.000599772,0.0040531,6477.270498,1.19E-05,0.000244,370,0
0.000156793,0.0002621,139.9952821,1.21E-05,3.92E-05,10,0
0.000203983,0.0014041,485.1766431,1.47E-05,0.0004161,36,0
0.000426234,0.0035596,2204.827047,1.47E-05,0.0001933,184,0
0.000316631,0.0026011,871.4147036,1.23E-05,1.16E-05,68,0
0.000210072,0.0018286,663.0996363,1.23E-05,0.0005439,52,0
0.000211595,0.001633,531.8123539,1.14E-05,0.0004502,47,0
0.000170494,0.0002657,160.4992077,9.42E-06,0.0001043,13,0
0.000296842,0.0014875,690.5963046,9.61E-06,3.53E-05,62,0
0.000519092,0.0030378,3518.911813,1.14E-05,0.0004622,216,0
0.000293797,0.0025363,1066.522246,9.42E-06,0.0002214,79,0
0.000178105,0.0014725,441.8987761,8.66E-06,0.0001345,32,0
0.000118737,0.0002975,103.6436981,8.66E-06,9.38E-05,4,0
0.000108081,0.0002879,58.79693401,1.14E-05,7.80E-06,3,0
0.0004171,0.0010187,596.8265732,9.61E-06,1.84E-05,46,0
0.000379044,0.0016747,921.1522442,1.14E-05,0.0001579,84,0
0.000181149,0.0009736,340.4507554,1.11E-05,0.0004091,33,0
0.000315109,0.0003616,346.6469069,1.07E-05,1.53E-05,30,0
0.000118737,0.0004996,93.64849086,1.14E-05,0.0004991,1,0
0.000121781,0.0002316,83.20595427,1.12E-05,3.00E-07,4,0
0.000310542,0.0003158,172.0365241,1.02E-05,6.00E-06,7,0
0.000167449,0.0002718,138.1520181,9.62E-06,6.60E-05,17,0
0.000583027,0.0017977,1434.099552,1.05E-05,2.49E-05,113,0
0.000324242,0.0016032,1442.112828,1.00E-05,0.0002721,111,0
0.000278574,0.0022456,899.0833147,1.13E-05,0.0001825,92,0
0.000135482,0.0004005,156.4851077,1.04E-05,0.000207,8,0
0.000120259,0.0004109,97.0721457,1.05E-05,0.0001534,6,0
0.000217684,0.0013752,370.0586589,9.36E-06,0.0002483,23,0
0.000164405,0.001033,244.1489691,9.32E-06,0.0001781,17,0
0.000118737,0.0002092,83.62334429,1.08E-05,2.80E-06,3,0
0.00020855,0.0008006,463.9217307,9.85E-06,6.17E-05,42,0
0.000121781,0.0004856,152.1160918,1.04E-05,6.40E-06,7,0
0.000137004,0.0004262,146.2462144,1.09E-05,0.0001602,11,0
0.000235951,0.0007908,247.2457008,7.81E-06,1.69E-05,14,0
0.000248129,0.0022391,1030.528265,8.97E-06,0.0002349,91,0
0.000123303,0.000234,92.39947231,9.87E-06,0.0002296,2,0
0.000272485,0.0009405,358.7669751,8.65E-06,0.0001502,31,0
0.000149182,0.0007542,244.5727548,8.22E-06,0.0001401,17,0
0.000392744,0.0021128,771.2207067,6.83E-06,1.09E-05,49,0
0.000424712,0.0018832,1335.156057,7.30E-06,0.0002404,120,0
0.000164405,0.000758,270.6272353,6.11E-06,0.0001884,22,0
0.000260307,0.0004857,367.1394314,7.13E-06,0.0002191,26,0
0.000178105,0.0006596,196.681537,8.66E-06,1.30E-05,17,0
0.000251174,0.0003331,242.5404,5.89E-06,1.78E-05,16,0
0.000595205,0.0031964,3859.575017,8.31E-06,0.000241,254,0
0.000400356,0.0034101,1460.418296,7.17E-06,2.84E-05,122,0
0.000222251,0.000358,178.7834488,8.88E-06,1.72E-05,14,0
0.000176583,0.0004817,178.3091462,9.27E-06,2.90E-06,15,0
0.000243562,0.0013993,668.6208081,8.51E-06,1.77E-05,77,0
0.000140048,0.000265,111.0083192,6.61E-06,3.01E-05,8,0
0.000672841,0.0031818,5844.630044,7.99E-06,0.0002369,291,0
0.000331854,0.0016576,487.4001278,9.06E-06,7.20E-06,44,0
0.000904225,0.0053139,12077.20645,1.04E-05,0.0002003,386,0
0.000601294,0.0036517,6023.641607,8.58E-06,0.0001786,283,0
0.000225295,0.0002238,199.7816057,1.06E-05,0.0002148,20,0
0.000111125,0.0003659,77.77858633,1.06E-05,3.00E-07,3,0
0.000508436,0.0016438,1755.731328,1.01E-05,2.27E-05,129,0
0.000284663,0.0022926,1211.12439,1.03E-05,0.000194,121,0
0.001339593,0.005458,32357.44793,7.92E-06,0.000272,542,0
0.000458202,0.0018403,1183.229426,8.87E-06,2.41E-05,105,0
0.000141571,0.0002341,98.65040461,1.10E-05,0.0001088,6,0
0.000178105,0.0002869,216.5328214,8.56E-06,6.17E-05,22,0
0.000249651,0.001604,727.475489,1.23E-05,0.0002198,63,0
0.000261829,0.0016696,969.2104922,1.12E-05,2.31E-05,90,0
0.00028923,0.0008059,475.4223412,1.06E-05,2.39E-05,40,0
0.000152226,0.0011305,232.3527652,1.20E-05,0.0004109,14,0
0.000245085,0.0009486,229.0179088,1.06E-05,5.10E-06,12,0
0.000225295,0.0019794,574.7105563,1.18E-05,0.0004603,50,0
0.000105036,0.0003918,99.22129183,1.11E-05,1.00E-07,0,0
